CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Monday, Jul 08 2019",,
Time: 02:59:46 PM,,
State,Delhi,
City,Delhi,
Station,"Rohini, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,27-06-2019T00:00:00Z 00:00,
To,03-07-2019T12:00:59Z 00:00,
,,
"Rohini, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
30-06-2019 08:00,30-06-2019 08:15,31
30-06-2019 08:15,30-06-2019 08:30,31
30-06-2019 08:30,30-06-2019 08:45,None
30-06-2019 08:45,30-06-2019 09:00,44
30-06-2019 09:00,30-06-2019 09:15,44
30-06-2019 09:15,30-06-2019 09:30,44
30-06-2019 09:30,30-06-2019 09:45,None
30-06-2019 09:45,30-06-2019 10:00,40
30-06-2019 10:00,30-06-2019 10:15,40
30-06-2019 10:15,30-06-2019 10:30,40
30-06-2019 10:30,30-06-2019 10:45,None
30-06-2019 10:45,30-06-2019 11:00,44
30-06-2019 11:00,30-06-2019 11:15,44
30-06-2019 11:15,30-06-2019 11:30,44
30-06-2019 11:30,30-06-2019 11:45,None
30-06-2019 11:45,30-06-2019 12:00,41
30-06-2019 12:00,30-06-2019 12:15,41
30-06-2019 12:15,30-06-2019 12:30,41
30-06-2019 12:30,30-06-2019 12:45,None
30-06-2019 12:45,30-06-2019 13:00,48
30-06-2019 13:00,30-06-2019 13:15,48
30-06-2019 13:15,30-06-2019 13:30,48
30-06-2019 13:30,30-06-2019 13:45,None
30-06-2019 13:45,30-06-2019 14:00,46
30-06-2019 14:00,30-06-2019 14:15,46
30-06-2019 14:15,30-06-2019 14:30,46
30-06-2019 14:30,30-06-2019 14:45,None
30-06-2019 14:45,30-06-2019 15:00,56
30-06-2019 15:00,30-06-2019 15:15,56
30-06-2019 15:15,30-06-2019 15:30,56
30-06-2019 15:30,30-06-2019 15:45,None
30-06-2019 15:45,30-06-2019 16:00,27
30-06-2019 16:00,30-06-2019 16:15,27
30-06-2019 16:15,30-06-2019 16:30,27
30-06-2019 16:30,30-06-2019 16:45,None
30-06-2019 16:45,30-06-2019 17:00,46
30-06-2019 17:00,30-06-2019 17:15,46
30-06-2019 17:15,30-06-2019 17:30,46
30-06-2019 17:30,30-06-2019 17:45,None
30-06-2019 17:45,30-06-2019 18:00,57
30-06-2019 18:00,30-06-2019 18:15,57
30-06-2019 18:15,30-06-2019 18:30,57
30-06-2019 18:30,30-06-2019 18:45,None
30-06-2019 18:45,30-06-2019 19:00,51
30-06-2019 19:00,30-06-2019 19:15,51
30-06-2019 19:15,30-06-2019 19:30,51
30-06-2019 19:30,30-06-2019 19:45,None
30-06-2019 19:45,30-06-2019 20:00,73
30-06-2019 20:00,30-06-2019 20:15,73
30-06-2019 20:15,30-06-2019 20:30,73
30-06-2019 20:30,30-06-2019 20:45,None
30-06-2019 20:45,30-06-2019 21:00,73
30-06-2019 21:00,30-06-2019 21:15,73
30-06-2019 21:15,30-06-2019 21:30,73
30-06-2019 21:30,30-06-2019 21:45,None
30-06-2019 21:45,30-06-2019 22:00,40
30-06-2019 22:00,30-06-2019 22:15,40
30-06-2019 22:15,30-06-2019 22:30,40
30-06-2019 22:30,30-06-2019 22:45,None
30-06-2019 22:45,30-06-2019 23:00,45
30-06-2019 23:00,30-06-2019 23:15,45
30-06-2019 23:15,30-06-2019 23:30,45
30-06-2019 23:30,30-06-2019 23:45,None
30-06-2019 23:45,01-07-2019 00:00,52
01-07-2019 00:00,01-07-2019 00:15,52
01-07-2019 00:15,01-07-2019 00:30,52
01-07-2019 00:30,01-07-2019 00:45,None
01-07-2019 00:45,01-07-2019 01:00,55
01-07-2019 01:00,01-07-2019 01:15,55
01-07-2019 01:15,01-07-2019 01:30,55
01-07-2019 01:30,01-07-2019 01:45,None
01-07-2019 01:45,01-07-2019 02:00,50
01-07-2019 02:00,01-07-2019 02:15,50
01-07-2019 02:15,01-07-2019 02:30,50
01-07-2019 02:30,01-07-2019 02:45,None
01-07-2019 02:45,01-07-2019 03:00,50
01-07-2019 03:00,01-07-2019 03:15,50
01-07-2019 03:15,01-07-2019 03:30,50
01-07-2019 03:30,01-07-2019 03:45,None
01-07-2019 03:45,01-07-2019 04:00,31
01-07-2019 04:00,01-07-2019 04:15,31
01-07-2019 04:15,01-07-2019 04:30,31
01-07-2019 04:30,01-07-2019 04:45,None
01-07-2019 04:45,01-07-2019 05:00,61
01-07-2019 05:00,01-07-2019 05:15,61
01-07-2019 05:15,01-07-2019 05:30,61
01-07-2019 05:30,01-07-2019 05:45,None
01-07-2019 05:45,01-07-2019 06:00,48
01-07-2019 06:00,01-07-2019 06:15,48
01-07-2019 06:15,01-07-2019 06:30,48
01-07-2019 06:30,01-07-2019 06:45,None
01-07-2019 06:45,01-07-2019 07:00,41
01-07-2019 07:00,01-07-2019 07:15,41
01-07-2019 07:15,01-07-2019 07:30,41
01-07-2019 07:30,01-07-2019 07:45,None
01-07-2019 07:45,01-07-2019 08:00,56
01-07-2019 08:00,01-07-2019 08:15,56
01-07-2019 08:15,01-07-2019 08:30,56
01-07-2019 08:30,01-07-2019 08:45,None
01-07-2019 08:45,01-07-2019 09:00,46
01-07-2019 09:00,01-07-2019 09:15,46
01-07-2019 09:15,01-07-2019 09:30,46
01-07-2019 09:30,01-07-2019 09:45,None
01-07-2019 09:45,01-07-2019 10:00,38
01-07-2019 10:00,01-07-2019 10:15,38
01-07-2019 10:15,01-07-2019 10:30,38
01-07-2019 10:30,01-07-2019 10:45,None
01-07-2019 10:45,01-07-2019 11:00,56
01-07-2019 11:00,01-07-2019 11:15,56
01-07-2019 11:15,01-07-2019 11:30,56
01-07-2019 11:30,01-07-2019 11:45,None
01-07-2019 11:45,01-07-2019 12:00,44
01-07-2019 12:00,01-07-2019 12:15,44
01-07-2019 12:15,01-07-2019 12:30,44
01-07-2019 12:30,01-07-2019 12:45,None
01-07-2019 12:45,01-07-2019 13:00,50
01-07-2019 13:00,01-07-2019 13:15,50
01-07-2019 13:15,01-07-2019 13:30,50
01-07-2019 13:30,01-07-2019 13:45,None
01-07-2019 13:45,01-07-2019 14:00,53
01-07-2019 14:00,01-07-2019 14:15,53
01-07-2019 14:15,01-07-2019 14:30,53
01-07-2019 14:30,01-07-2019 14:45,None
01-07-2019 14:45,01-07-2019 15:00,66
01-07-2019 15:00,01-07-2019 15:15,66
01-07-2019 15:15,01-07-2019 15:30,66
01-07-2019 15:30,01-07-2019 15:45,None
01-07-2019 15:45,01-07-2019 16:00,63
01-07-2019 16:00,01-07-2019 16:15,63
01-07-2019 16:15,01-07-2019 16:30,63
01-07-2019 16:30,01-07-2019 16:45,None
01-07-2019 16:45,01-07-2019 17:00,57
01-07-2019 17:00,01-07-2019 17:15,57
01-07-2019 17:15,01-07-2019 17:30,57
01-07-2019 17:30,01-07-2019 17:45,None
01-07-2019 17:45,01-07-2019 18:00,63
01-07-2019 18:00,01-07-2019 18:15,63
01-07-2019 18:15,01-07-2019 18:30,63
01-07-2019 18:30,01-07-2019 18:45,None
01-07-2019 18:45,01-07-2019 19:00,62
01-07-2019 19:00,01-07-2019 19:15,62
01-07-2019 19:15,01-07-2019 19:30,62
01-07-2019 19:30,01-07-2019 19:45,None
01-07-2019 19:45,01-07-2019 20:00,62
01-07-2019 20:00,01-07-2019 20:15,62
01-07-2019 20:15,01-07-2019 20:30,62
01-07-2019 20:30,01-07-2019 20:45,None
01-07-2019 20:45,01-07-2019 21:00,69
01-07-2019 21:00,01-07-2019 21:15,69
01-07-2019 21:15,01-07-2019 21:30,69
01-07-2019 21:30,01-07-2019 21:45,None
01-07-2019 21:45,01-07-2019 22:00,50
01-07-2019 22:00,01-07-2019 22:15,50
01-07-2019 22:15,01-07-2019 22:30,50
01-07-2019 22:30,01-07-2019 22:45,None
01-07-2019 22:45,01-07-2019 23:00,39
01-07-2019 23:00,01-07-2019 23:15,39
01-07-2019 23:15,01-07-2019 23:30,39
01-07-2019 23:30,01-07-2019 23:45,None
01-07-2019 23:45,02-07-2019 00:00,39
02-07-2019 00:00,02-07-2019 00:15,39
02-07-2019 00:15,02-07-2019 00:30,39
02-07-2019 00:30,02-07-2019 00:45,None
02-07-2019 00:45,02-07-2019 01:00,44
02-07-2019 01:00,02-07-2019 01:15,44
02-07-2019 01:15,02-07-2019 01:30,44
02-07-2019 01:30,02-07-2019 01:45,None
02-07-2019 01:45,02-07-2019 02:00,48
02-07-2019 02:00,02-07-2019 02:15,48
02-07-2019 02:15,02-07-2019 02:30,48
02-07-2019 02:30,02-07-2019 02:45,None
02-07-2019 02:45,02-07-2019 03:00,55
02-07-2019 03:00,02-07-2019 03:15,55
