CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 09 2019",,
Time: 09:58:04 AM,,
State,Delhi,
City,Delhi,
Station,"DTU, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,01-07-2019T00:00:00Z 00:00,
To,09-07-2019T09:57:59Z 00:00,
,,
"DTU, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
03-07-2019 19:15,03-07-2019 19:30,33.89
03-07-2019 19:30,03-07-2019 19:45,33.89
03-07-2019 19:45,03-07-2019 20:00,33.89
03-07-2019 20:00,03-07-2019 20:15,32.08
03-07-2019 20:15,03-07-2019 20:30,31.84
03-07-2019 20:30,03-07-2019 20:45,31.84
03-07-2019 20:45,03-07-2019 21:00,None
03-07-2019 21:00,03-07-2019 21:15,51.88
03-07-2019 21:15,03-07-2019 21:30,54.52
03-07-2019 21:30,03-07-2019 21:45,54.52
03-07-2019 21:45,03-07-2019 22:00,54.52
03-07-2019 22:00,03-07-2019 22:15,38.45
03-07-2019 22:15,03-07-2019 22:30,36.34
03-07-2019 22:30,03-07-2019 22:45,36.34
03-07-2019 22:45,03-07-2019 23:00,36.34
03-07-2019 23:00,03-07-2019 23:15,25.5
03-07-2019 23:15,03-07-2019 23:30,24.07
03-07-2019 23:30,03-07-2019 23:45,24.07
03-07-2019 23:45,04-07-2019 00:00,None
04-07-2019 00:00,04-07-2019 00:15,21.08
04-07-2019 00:15,04-07-2019 00:30,20.69
04-07-2019 00:30,04-07-2019 00:45,20.69
04-07-2019 00:45,04-07-2019 01:00,20.69
04-07-2019 01:00,04-07-2019 01:15,26.05
04-07-2019 01:15,04-07-2019 01:30,26.75
04-07-2019 01:30,04-07-2019 01:45,26.75
04-07-2019 01:45,04-07-2019 02:00,26.75
04-07-2019 02:00,04-07-2019 02:15,30.25
04-07-2019 02:15,04-07-2019 02:30,30.7
04-07-2019 02:30,04-07-2019 02:45,30.7
04-07-2019 02:45,04-07-2019 03:00,30.7
04-07-2019 03:00,04-07-2019 03:15,35.13
04-07-2019 03:15,04-07-2019 03:30,35.71
04-07-2019 03:30,04-07-2019 03:45,35.71
04-07-2019 03:45,04-07-2019 04:00,35.71
04-07-2019 04:00,04-07-2019 04:15,32.43
04-07-2019 04:15,04-07-2019 04:30,32
04-07-2019 04:30,04-07-2019 04:45,32
04-07-2019 04:45,04-07-2019 05:00,32
04-07-2019 05:00,04-07-2019 05:15,32.99
04-07-2019 05:15,04-07-2019 05:30,33.12
04-07-2019 05:30,04-07-2019 05:45,33.12
04-07-2019 05:45,04-07-2019 06:00,33.12
04-07-2019 06:00,04-07-2019 06:15,31.85
04-07-2019 06:15,04-07-2019 06:30,31.68
04-07-2019 06:30,04-07-2019 06:45,31.68
04-07-2019 06:45,04-07-2019 07:00,31.68
04-07-2019 07:00,04-07-2019 07:15,41.92
04-07-2019 07:15,04-07-2019 07:30,43.27
04-07-2019 07:30,04-07-2019 07:45,43.27
04-07-2019 07:45,04-07-2019 08:00,43.27
04-07-2019 08:00,04-07-2019 08:15,42.42
04-07-2019 08:15,04-07-2019 08:30,42.31
04-07-2019 08:30,04-07-2019 08:45,42.31
04-07-2019 08:45,04-07-2019 09:00,42.31
04-07-2019 09:00,04-07-2019 09:15,41.71
04-07-2019 09:15,04-07-2019 09:30,41.63
04-07-2019 09:30,04-07-2019 09:45,41.63
04-07-2019 09:45,04-07-2019 10:00,41.63
04-07-2019 10:00,04-07-2019 10:15,30.12
04-07-2019 10:15,04-07-2019 10:30,28.6
04-07-2019 10:30,04-07-2019 10:45,28.6
04-07-2019 10:45,04-07-2019 11:00,28.6
04-07-2019 11:00,04-07-2019 11:15,30.8
04-07-2019 11:15,04-07-2019 11:30,31.09
04-07-2019 11:30,04-07-2019 11:45,31.09
04-07-2019 11:45,04-07-2019 12:00,31.09
04-07-2019 12:00,04-07-2019 12:15,35.23
04-07-2019 12:15,04-07-2019 12:30,35.77
04-07-2019 12:30,04-07-2019 12:45,35.77
04-07-2019 12:45,04-07-2019 13:00,35.77
04-07-2019 13:00,04-07-2019 13:15,39.85
04-07-2019 13:15,04-07-2019 13:30,40.39
04-07-2019 13:30,04-07-2019 13:45,40.39
04-07-2019 13:45,04-07-2019 14:00,40.39
04-07-2019 14:00,04-07-2019 14:15,26.14
04-07-2019 14:15,04-07-2019 14:30,24.27
04-07-2019 14:30,04-07-2019 14:45,24.27
04-07-2019 14:45,04-07-2019 15:00,24.27
04-07-2019 15:00,04-07-2019 15:15,24.18
04-07-2019 15:15,04-07-2019 15:30,24.17
04-07-2019 15:30,04-07-2019 15:45,24.17
04-07-2019 15:45,04-07-2019 16:00,24.17
04-07-2019 16:00,04-07-2019 16:15,26.78
04-07-2019 16:15,04-07-2019 16:30,27.12
04-07-2019 16:30,04-07-2019 16:45,27.12
04-07-2019 16:45,04-07-2019 17:00,27.12
04-07-2019 17:00,04-07-2019 17:15,28.77
04-07-2019 17:15,04-07-2019 17:30,28.99
04-07-2019 17:30,04-07-2019 17:45,28.99
04-07-2019 17:45,04-07-2019 18:00,28.99
04-07-2019 18:00,04-07-2019 18:15,34.04
04-07-2019 18:15,04-07-2019 18:30,34.7
04-07-2019 18:30,04-07-2019 18:45,34.7
04-07-2019 18:45,04-07-2019 19:00,34.7
04-07-2019 19:00,04-07-2019 19:15,31.29
04-07-2019 19:15,04-07-2019 19:30,30.84
04-07-2019 19:30,04-07-2019 19:45,30.84
04-07-2019 19:45,04-07-2019 20:00,30.84
04-07-2019 20:00,04-07-2019 20:15,31.74
04-07-2019 20:15,04-07-2019 20:30,31.86
04-07-2019 20:30,04-07-2019 20:45,31.86
04-07-2019 20:45,04-07-2019 21:00,31.86
04-07-2019 21:00,04-07-2019 21:15,46.03
04-07-2019 21:15,04-07-2019 21:30,47.89
04-07-2019 21:30,04-07-2019 21:45,47.89
04-07-2019 21:45,04-07-2019 22:00,47.89
04-07-2019 22:00,04-07-2019 22:15,None
04-07-2019 22:15,04-07-2019 22:30,44.93
04-07-2019 22:30,04-07-2019 22:45,44.93
04-07-2019 22:45,04-07-2019 23:00,44.93
04-07-2019 23:00,04-07-2019 23:15,50.91
04-07-2019 23:15,04-07-2019 23:30,51.72
04-07-2019 23:30,04-07-2019 23:45,51.72
04-07-2019 23:45,05-07-2019 00:00,None
05-07-2019 00:00,05-07-2019 00:15,67.11
05-07-2019 00:15,05-07-2019 00:30,69.14
05-07-2019 00:30,05-07-2019 00:45,69.14
05-07-2019 00:45,05-07-2019 01:00,69.14
05-07-2019 01:00,05-07-2019 01:15,68.44
05-07-2019 01:15,05-07-2019 01:30,68.35
05-07-2019 01:30,05-07-2019 01:45,68.35
05-07-2019 01:45,05-07-2019 02:00,68.35
05-07-2019 02:00,05-07-2019 02:15,58.74
05-07-2019 02:15,05-07-2019 02:30,57.47
05-07-2019 02:30,05-07-2019 02:45,57.47
05-07-2019 02:45,05-07-2019 03:00,57.47
05-07-2019 03:00,05-07-2019 03:15,57.96
05-07-2019 03:15,05-07-2019 03:30,58.03
05-07-2019 03:30,05-07-2019 03:45,58.03
05-07-2019 03:45,05-07-2019 04:00,58.03
05-07-2019 04:00,05-07-2019 04:15,67.85
05-07-2019 04:15,05-07-2019 04:30,69.14
05-07-2019 04:30,05-07-2019 04:45,69.14
05-07-2019 04:45,05-07-2019 05:00,69.14
05-07-2019 05:00,05-07-2019 05:15,58.21
05-07-2019 05:15,05-07-2019 05:30,56.77
05-07-2019 05:30,05-07-2019 05:45,56.77
05-07-2019 05:45,05-07-2019 06:00,56.77
05-07-2019 06:00,05-07-2019 06:15,62.52
05-07-2019 06:15,05-07-2019 06:30,63.28
05-07-2019 06:30,05-07-2019 06:45,63.28
05-07-2019 06:45,05-07-2019 07:00,63.28
05-07-2019 07:00,05-07-2019 07:15,66.78
05-07-2019 07:15,05-07-2019 07:30,67.24
05-07-2019 07:30,05-07-2019 07:45,67.24
05-07-2019 07:45,05-07-2019 08:00,67.24
05-07-2019 08:00,05-07-2019 08:15,79.49
05-07-2019 08:15,05-07-2019 08:30,81.1
05-07-2019 08:30,05-07-2019 08:45,81.1
05-07-2019 08:45,05-07-2019 09:00,81.1
05-07-2019 09:00,05-07-2019 09:15,81.19
05-07-2019 09:15,05-07-2019 09:30,81.2
05-07-2019 09:30,05-07-2019 09:45,81.2
05-07-2019 09:45,05-07-2019 10:00,81.2
05-07-2019 10:00,05-07-2019 10:15,85.16
05-07-2019 10:15,05-07-2019 10:30,85.7
05-07-2019 10:30,05-07-2019 10:45,85.7
05-07-2019 10:45,05-07-2019 11:00,85.7
05-07-2019 11:00,05-07-2019 11:15,57.39
05-07-2019 11:15,05-07-2019 11:30,53.67
05-07-2019 11:30,05-07-2019 11:45,53.67
05-07-2019 11:45,05-07-2019 12:00,53.67
05-07-2019 12:00,05-07-2019 12:15,37.74
05-07-2019 12:15,05-07-2019 12:30,35.67
05-07-2019 12:30,05-07-2019 12:45,35.67
05-07-2019 12:45,05-07-2019 13:00,35.67
05-07-2019 13:00,05-07-2019 13:15,33.77
05-07-2019 13:15,05-07-2019 13:30,33.52
05-07-2019 13:30,05-07-2019 13:45,33.52
05-07-2019 13:45,05-07-2019 14:00,33.52
05-07-2019 14:00,05-07-2019 14:15,46.84
05-07-2019 14:15,05-07-2019 14:30,48.59
05-07-2019 14:30,05-07-2019 14:45,48.59
05-07-2019 14:45,05-07-2019 15:00,48.59
05-07-2019 15:00,05-07-2019 15:15,43.01
05-07-2019 15:15,05-07-2019 15:30,42.29
05-07-2019 15:30,05-07-2019 15:45,42.29
05-07-2019 15:45,05-07-2019 16:00,42.29
05-07-2019 16:00,05-07-2019 16:15,53.16
05-07-2019 16:15,05-07-2019 16:30,54.78
05-07-2019 16:30,05-07-2019 16:45,54.78
05-07-2019 16:45,05-07-2019 17:00,54.78
05-07-2019 17:00,05-07-2019 17:15,37.26
05-07-2019 17:15,05-07-2019 17:30,34.95
05-07-2019 17:30,05-07-2019 17:45,34.95
05-07-2019 17:45,05-07-2019 18:00,34.95
05-07-2019 18:00,05-07-2019 18:15,34.71
05-07-2019 18:15,05-07-2019 18:30,34.68
05-07-2019 18:30,05-07-2019 18:45,34.68
05-07-2019 18:45,05-07-2019 19:00,34.68
05-07-2019 19:00,05-07-2019 19:15,27.49
05-07-2019 19:15,05-07-2019 19:30,26.56
05-07-2019 19:30,05-07-2019 19:45,26.56
05-07-2019 19:45,05-07-2019 20:00,26.56
05-07-2019 20:00,05-07-2019 20:15,21.08
05-07-2019 20:15,05-07-2019 20:30,20.36
05-07-2019 20:30,05-07-2019 20:45,20.36
05-07-2019 20:45,05-07-2019 21:00,20.36
05-07-2019 21:00,05-07-2019 21:15,24.01
05-07-2019 21:15,05-07-2019 21:30,24.5
05-07-2019 21:30,05-07-2019 21:45,24.5
05-07-2019 21:45,05-07-2019 22:00,24.5
05-07-2019 22:00,05-07-2019 22:15,24.03
05-07-2019 22:15,05-07-2019 22:30,23.97
05-07-2019 22:30,05-07-2019 22:45,23.97
05-07-2019 22:45,05-07-2019 23:00,23.97
05-07-2019 23:00,05-07-2019 23:15,22.53
05-07-2019 23:15,05-07-2019 23:30,22.34
05-07-2019 23:30,05-07-2019 23:45,22.34
05-07-2019 23:45,06-07-2019 00:00,None
06-07-2019 00:00,06-07-2019 00:15,32.89
06-07-2019 00:15,06-07-2019 00:30,34.28
06-07-2019 00:30,06-07-2019 00:45,34.28
06-07-2019 00:45,06-07-2019 01:00,34.28
06-07-2019 01:00,06-07-2019 01:15,28.24
06-07-2019 01:15,06-07-2019 01:30,27.45
06-07-2019 01:30,06-07-2019 01:45,27.45
06-07-2019 01:45,06-07-2019 02:00,27.45
06-07-2019 02:00,06-07-2019 02:15,29.03
06-07-2019 02:15,06-07-2019 02:30,29.24
06-07-2019 02:30,06-07-2019 02:45,29.24
06-07-2019 02:45,06-07-2019 03:00,29.24
06-07-2019 03:00,06-07-2019 03:15,39.59
06-07-2019 03:15,06-07-2019 03:30,40.93
06-07-2019 03:30,06-07-2019 03:45,40.93
06-07-2019 03:45,06-07-2019 04:00,40.93
06-07-2019 04:00,06-07-2019 04:15,41.59
06-07-2019 04:15,06-07-2019 04:30,41.67
06-07-2019 04:30,06-07-2019 04:45,None
