CENTRAL POLLUTION CONTROL BOARD,,,
CONTINUOUS AMBIENT AIR QUALITY,,,
"Date: Monday, Jun 24 2019",,,
Time: 09:33:27 AM,,,
State,Delhi,,
City,Delhi,,
Station,"ITO, Delhi - CPCB",,
Parameter,"PM2.5,PM10,RH",,
AvgPeriod,15 Minute,,
From,11-06-2019T00:00:00Z 00:00,,
To,17-06-2019T00:00:59Z 00:00,,
,,,
"ITO, Delhi - CPCB",,,
Prescribed Standards, ,0-60,0-100
Exceeding Standards, ,NA,NA
Remarks,,,
From Date,To Date,PM2.5,PM10
13-06-2019 15:15,13-06-2019 15:30,40,94
13-06-2019 15:30,13-06-2019 15:45,40,95
13-06-2019 15:45,13-06-2019 16:00,41,98
13-06-2019 16:00,13-06-2019 16:15,43,104
13-06-2019 16:15,13-06-2019 16:30,45,112
13-06-2019 16:30,13-06-2019 16:45,47,124
13-06-2019 16:45,13-06-2019 17:00,49,134
13-06-2019 17:00,13-06-2019 17:15,49,141
13-06-2019 17:15,13-06-2019 17:30,50,145
13-06-2019 17:30,13-06-2019 17:45,51,145
13-06-2019 17:45,13-06-2019 18:00,52,147
13-06-2019 18:00,13-06-2019 18:15,51,144
13-06-2019 18:15,13-06-2019 18:30,52,146
13-06-2019 18:30,13-06-2019 18:45,52,150
13-06-2019 18:45,13-06-2019 19:00,53,154
13-06-2019 19:00,13-06-2019 19:15,55,161
13-06-2019 19:15,13-06-2019 19:30,56,164
13-06-2019 19:30,13-06-2019 19:45,56,167
13-06-2019 19:45,13-06-2019 20:00,59,176
13-06-2019 20:00,13-06-2019 20:15,62,187
13-06-2019 20:15,13-06-2019 20:30,66,198
13-06-2019 20:30,13-06-2019 20:45,72,211
13-06-2019 20:45,13-06-2019 21:00,77,222
13-06-2019 21:00,13-06-2019 21:15,82,231
13-06-2019 21:15,13-06-2019 21:30,85,232
13-06-2019 21:30,13-06-2019 21:45,88,231
13-06-2019 21:45,13-06-2019 22:00,89,226
13-06-2019 22:00,13-06-2019 22:15,86,216
13-06-2019 22:15,13-06-2019 22:30,80,203
13-06-2019 22:30,13-06-2019 22:45,72,186
13-06-2019 22:45,13-06-2019 23:00,62,164
13-06-2019 23:00,13-06-2019 23:15,54,141
13-06-2019 23:15,13-06-2019 23:30,48,122
13-06-2019 23:30,13-06-2019 23:45,43,106
13-06-2019 23:45,14-06-2019 00:00,NAN,NAN
14-06-2019 00:00,14-06-2019 00:15,39,95
14-06-2019 00:15,14-06-2019 00:30,39,96
14-06-2019 00:30,14-06-2019 00:45,39,97
14-06-2019 00:45,14-06-2019 01:00,38,97
14-06-2019 01:00,14-06-2019 01:15,38,97
14-06-2019 01:15,14-06-2019 01:30,39,100
14-06-2019 01:30,14-06-2019 01:45,39,102
14-06-2019 01:45,14-06-2019 02:00,38,103
14-06-2019 02:00,14-06-2019 02:15,38,101
14-06-2019 02:15,14-06-2019 02:30,38,97
14-06-2019 02:30,14-06-2019 02:45,38,93
14-06-2019 02:45,14-06-2019 03:00,38,90
14-06-2019 03:00,14-06-2019 03:15,39,89
14-06-2019 03:15,14-06-2019 03:30,37,86
14-06-2019 03:30,14-06-2019 03:45,36,85
14-06-2019 03:45,14-06-2019 04:00,35,84
14-06-2019 04:00,14-06-2019 04:15,34,85
14-06-2019 04:15,14-06-2019 04:30,35,87
14-06-2019 04:30,14-06-2019 04:45,37,90
14-06-2019 04:45,14-06-2019 05:00,38,94
14-06-2019 05:00,14-06-2019 05:15,38,96
14-06-2019 05:15,14-06-2019 05:30,39,100
14-06-2019 05:30,14-06-2019 05:45,41,105
14-06-2019 05:45,14-06-2019 06:00,42,111
14-06-2019 06:00,14-06-2019 06:15,45,120
14-06-2019 06:15,14-06-2019 06:30,47,127
14-06-2019 06:30,14-06-2019 06:45,48,131
14-06-2019 06:45,14-06-2019 07:00,48,134
14-06-2019 07:00,14-06-2019 07:15,47,138
14-06-2019 07:15,14-06-2019 07:30,44,143
14-06-2019 07:30,14-06-2019 07:45,44,151
14-06-2019 07:45,14-06-2019 08:00,45,160
14-06-2019 08:00,14-06-2019 08:15,48,168
14-06-2019 08:15,14-06-2019 08:30,50,173
14-06-2019 08:30,14-06-2019 08:45,52,179
14-06-2019 08:45,14-06-2019 09:00,55,185
14-06-2019 09:00,14-06-2019 09:15,55,186
14-06-2019 09:15,14-06-2019 09:30,55,187
14-06-2019 09:30,14-06-2019 09:45,54,185
14-06-2019 09:45,14-06-2019 10:00,53,182
14-06-2019 10:00,14-06-2019 10:15,52,183
14-06-2019 10:15,14-06-2019 10:30,50,180
14-06-2019 10:30,14-06-2019 10:45,50,182
14-06-2019 10:45,14-06-2019 11:00,50,181
14-06-2019 11:00,14-06-2019 11:15,48,172
14-06-2019 11:15,14-06-2019 11:30,47,169
14-06-2019 11:30,14-06-2019 11:45,45,157
14-06-2019 11:45,14-06-2019 12:00,44,147
14-06-2019 12:00,14-06-2019 12:15,46,147
14-06-2019 12:15,14-06-2019 12:30,47,148
14-06-2019 12:30,14-06-2019 12:45,48,150
14-06-2019 12:45,14-06-2019 13:00,49,153
14-06-2019 13:00,14-06-2019 13:15,50,156
14-06-2019 13:15,14-06-2019 13:30,49,156
14-06-2019 13:30,14-06-2019 13:45,47,154
14-06-2019 13:45,14-06-2019 14:00,46,154
14-06-2019 14:00,14-06-2019 14:15,44,149
14-06-2019 14:15,14-06-2019 14:30,44,148
14-06-2019 14:30,14-06-2019 14:45,46,150
14-06-2019 14:45,14-06-2019 15:00,48,155
14-06-2019 15:00,14-06-2019 15:15,49,163
14-06-2019 15:15,14-06-2019 15:30,49,167
14-06-2019 15:30,14-06-2019 15:45,47,166
14-06-2019 15:45,14-06-2019 16:00,46,161
14-06-2019 16:00,14-06-2019 16:15,46,155
14-06-2019 16:15,14-06-2019 16:30,47,154
14-06-2019 16:30,14-06-2019 16:45,48,156
14-06-2019 16:45,14-06-2019 17:00,47,154
14-06-2019 17:00,14-06-2019 17:15,46,149
14-06-2019 17:15,14-06-2019 17:30,44,142
14-06-2019 17:30,14-06-2019 17:45,45,136
14-06-2019 17:45,14-06-2019 18:00,45,135
14-06-2019 18:00,14-06-2019 18:15,44,135
14-06-2019 18:15,14-06-2019 18:30,44,136
14-06-2019 18:30,14-06-2019 18:45,42,135
14-06-2019 18:45,14-06-2019 19:00,42,132
14-06-2019 19:00,14-06-2019 19:15,44,133
14-06-2019 19:15,14-06-2019 19:30,46,132
14-06-2019 19:30,14-06-2019 19:45,47,135
14-06-2019 19:45,14-06-2019 20:00,50,143
14-06-2019 20:00,14-06-2019 20:15,53,154
14-06-2019 20:15,14-06-2019 20:30,57,166
14-06-2019 20:30,14-06-2019 20:45,61,176
14-06-2019 20:45,14-06-2019 21:00,63,183
14-06-2019 21:00,14-06-2019 21:15,66,185
14-06-2019 21:15,14-06-2019 21:30,68,187
14-06-2019 21:30,14-06-2019 21:45,71,194
14-06-2019 21:45,14-06-2019 22:00,76,202
14-06-2019 22:00,14-06-2019 22:15,83,214
14-06-2019 22:15,14-06-2019 22:30,90,226
14-06-2019 22:30,14-06-2019 22:45,97,237
14-06-2019 22:45,14-06-2019 23:00,102,247
14-06-2019 23:00,14-06-2019 23:15,107,256
14-06-2019 23:15,14-06-2019 23:30,109,265
14-06-2019 23:30,14-06-2019 23:45,107,268
14-06-2019 23:45,15-06-2019 00:00,NAN,NAN
15-06-2019 00:00,15-06-2019 00:15,100,258
15-06-2019 00:15,15-06-2019 00:30,99,254
15-06-2019 00:30,15-06-2019 00:45,103,259
15-06-2019 00:45,15-06-2019 01:00,103,264
15-06-2019 01:00,15-06-2019 01:15,103,265
15-06-2019 01:15,15-06-2019 01:30,100,261
15-06-2019 01:30,15-06-2019 01:45,93,242
15-06-2019 01:45,15-06-2019 02:00,89,225
15-06-2019 02:00,15-06-2019 02:15,86,215
15-06-2019 02:15,15-06-2019 02:30,84,210
15-06-2019 02:30,15-06-2019 02:45,83,208
15-06-2019 02:45,15-06-2019 03:00,85,208
15-06-2019 03:00,15-06-2019 03:15,85,200
15-06-2019 03:15,15-06-2019 03:30,84,191
15-06-2019 03:30,15-06-2019 03:45,87,192
15-06-2019 03:45,15-06-2019 04:00,91,193
15-06-2019 04:00,15-06-2019 04:15,95,195
15-06-2019 04:15,15-06-2019 04:30,97,193
15-06-2019 04:30,15-06-2019 04:45,92,181
15-06-2019 04:45,15-06-2019 05:00,83,167
15-06-2019 05:00,15-06-2019 05:15,75,155
15-06-2019 05:15,15-06-2019 05:30,69,146
15-06-2019 05:30,15-06-2019 05:45,65,141
15-06-2019 05:45,15-06-2019 06:00,63,140
15-06-2019 06:00,15-06-2019 06:15,62,145
15-06-2019 06:15,15-06-2019 06:30,63,154
15-06-2019 06:30,15-06-2019 06:45,66,164
15-06-2019 06:45,15-06-2019 07:00,72,175
15-06-2019 07:00,15-06-2019 07:15,79,184
15-06-2019 07:15,15-06-2019 07:30,86,194
15-06-2019 07:30,15-06-2019 07:45,93,209
15-06-2019 07:45,15-06-2019 08:00,100,228
15-06-2019 08:00,15-06-2019 08:15,106,248
15-06-2019 08:15,15-06-2019 08:30,111,264
15-06-2019 08:30,15-06-2019 08:45,113,274
15-06-2019 08:45,15-06-2019 09:00,113,275
15-06-2019 09:00,15-06-2019 09:15,111,269
15-06-2019 09:15,15-06-2019 09:30,105,260
15-06-2019 09:30,15-06-2019 09:45,96,244
15-06-2019 09:45,15-06-2019 10:00,87,228
15-06-2019 10:00,15-06-2019 10:15,81,220
15-06-2019 10:15,15-06-2019 10:30,77,219
15-06-2019 10:30,15-06-2019 10:45,74,218
15-06-2019 10:45,15-06-2019 11:00,68,214
15-06-2019 11:00,15-06-2019 11:15,60,204
15-06-2019 11:15,15-06-2019 11:30,54,191
15-06-2019 11:30,15-06-2019 11:45,51,183
15-06-2019 11:45,15-06-2019 12:00,52,181
15-06-2019 12:00,15-06-2019 12:15,53,181
15-06-2019 12:15,15-06-2019 12:30,54,186
15-06-2019 12:30,15-06-2019 12:45,55,196
15-06-2019 12:45,15-06-2019 13:00,55,210
15-06-2019 13:00,15-06-2019 13:15,55,221
15-06-2019 13:15,15-06-2019 13:30,55,226
15-06-2019 13:30,15-06-2019 13:45,55,233
15-06-2019 13:45,15-06-2019 14:00,55,235
15-06-2019 14:00,15-06-2019 14:15,54,236
15-06-2019 14:15,15-06-2019 14:30,55,244
15-06-2019 14:30,15-06-2019 14:45,54,245
15-06-2019 14:45,15-06-2019 15:00,53,245
15-06-2019 15:00,15-06-2019 15:15,52,243
15-06-2019 15:15,15-06-2019 15:30,52,238
15-06-2019 15:30,15-06-2019 15:45,53,237
15-06-2019 15:45,15-06-2019 16:00,55,236
15-06-2019 16:00,15-06-2019 16:15,55,234
15-06-2019 16:15,15-06-2019 16:30,55,231
15-06-2019 16:30,15-06-2019 16:45,54,226
15-06-2019 16:45,15-06-2019 17:00,52,222
15-06-2019 17:00,15-06-2019 17:15,52,220
15-06-2019 17:15,15-06-2019 17:30,52,217
15-06-2019 17:30,15-06-2019 17:45,50,209
15-06-2019 17:45,15-06-2019 18:00,48,203
15-06-2019 18:00,15-06-2019 18:15,48,200
15-06-2019 18:15,15-06-2019 18:30,48,196
15-06-2019 18:30,15-06-2019 18:45,50,196
15-06-2019 18:45,15-06-2019 19:00,50,196
15-06-2019 19:00,15-06-2019 19:15,51,195
15-06-2019 19:15,15-06-2019 19:30,50,195
15-06-2019 19:30,15-06-2019 19:45,51,196
15-06-2019 19:45,15-06-2019 20:00,54,202
15-06-2019 20:00,15-06-2019 20:15,59,210
15-06-2019 20:15,15-06-2019 20:30,65,220
15-06-2019 20:30,15-06-2019 20:45,68,234
15-06-2019 20:45,15-06-2019 21:00,69,249
15-06-2019 21:00,15-06-2019 21:15,67,254
