CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Saturday, Jun 22 2019",,
Time: 09:40:43 AM,,
State,Delhi,
City,Delhi,
Station,"ITO, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,11-06-2019T00:00:00Z 00:00,
To,16-06-2019T00:00:59Z 00:00,
,,
"ITO, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
14-06-2019 01:30,14-06-2019 01:45,39
14-06-2019 01:45,14-06-2019 02:00,38
14-06-2019 02:00,14-06-2019 02:15,38
14-06-2019 02:15,14-06-2019 02:30,38
14-06-2019 02:30,14-06-2019 02:45,38
14-06-2019 02:45,14-06-2019 03:00,38
14-06-2019 03:00,14-06-2019 03:15,39
14-06-2019 03:15,14-06-2019 03:30,37
14-06-2019 03:30,14-06-2019 03:45,36
14-06-2019 03:45,14-06-2019 04:00,35
14-06-2019 04:00,14-06-2019 04:15,34
14-06-2019 04:15,14-06-2019 04:30,35
14-06-2019 04:30,14-06-2019 04:45,37
14-06-2019 04:45,14-06-2019 05:00,38
14-06-2019 05:00,14-06-2019 05:15,38
14-06-2019 05:15,14-06-2019 05:30,39
14-06-2019 05:30,14-06-2019 05:45,41
14-06-2019 05:45,14-06-2019 06:00,42
14-06-2019 06:00,14-06-2019 06:15,45
14-06-2019 06:15,14-06-2019 06:30,47
14-06-2019 06:30,14-06-2019 06:45,48
14-06-2019 06:45,14-06-2019 07:00,48
14-06-2019 07:00,14-06-2019 07:15,47
14-06-2019 07:15,14-06-2019 07:30,44
14-06-2019 07:30,14-06-2019 07:45,44
14-06-2019 07:45,14-06-2019 08:00,45
14-06-2019 08:00,14-06-2019 08:15,48
14-06-2019 08:15,14-06-2019 08:30,50
14-06-2019 08:30,14-06-2019 08:45,52
14-06-2019 08:45,14-06-2019 09:00,55
14-06-2019 09:00,14-06-2019 09:15,55
14-06-2019 09:15,14-06-2019 09:30,55
14-06-2019 09:30,14-06-2019 09:45,54
14-06-2019 09:45,14-06-2019 10:00,53
14-06-2019 10:00,14-06-2019 10:15,52
14-06-2019 10:15,14-06-2019 10:30,50
14-06-2019 10:30,14-06-2019 10:45,50
14-06-2019 10:45,14-06-2019 11:00,50
14-06-2019 11:00,14-06-2019 11:15,48
14-06-2019 11:15,14-06-2019 11:30,47
14-06-2019 11:30,14-06-2019 11:45,45
14-06-2019 11:45,14-06-2019 12:00,44
14-06-2019 12:00,14-06-2019 12:15,46
