0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
63.25,84.75,120,134.5,130,120.5,116.5,109.5,103.25,92.75,80,73.5,63.25,57.5,52.25,57,55,49,46.5,51.5,53.25,62.5,82.75,97.5
105.75,102,105,96.75,92.75,116.75,221.25,220.25,173.75,124.75,97.5,76.25,62.5,55.25,48.25,47,50.5,47.5,44.75,55,61.25,69.5,75,69.5
67,79.25,100.25,123,121.25,122,129.75,117.5,112,106.5,108.75,87.75,65,53,57.25,55.25,51.25,48,53,52.75,58.5,54.75,56.75,59.5
56,46.5,54,68,63.5,76.25,99,92.75,55,47.5,51.25,57.75,62,57.5,47.75,44.5,48.5,53.25,56.5,61.75,75.25,86.5,81.25,65
76.75,76,79.5,88.5,94,117.5,144,171,141.5,90.5,89.75,118.5,111.5,101.5,95,98,NAN,34.5,77.25,42.5,46.75,49.25,55,59.75
54.25,42.75,48.25,48,45.75,66.5,84.25,88.75,80.75,39.5,24,23.75,22,24.25,26.5,29.5,31,38,38,35.75,38.5,40.5,47,59.5
55.75,51.75,63,82.25,67.25,47.25,47.25,42.25,38.5,44.75,39.25,31.25,29.5,25.5,25.25,26,24.5,23,25,29.5,38,42,48.5,53.5
48.75,66.5,79.25,77.75,75.75,69.5,79.75,96.5,122.25,77.5,50.75,46.5,39.75,32.25,27,25.5,30.5,29.5,22.5,29,47,63.5,70,71.75
90,105.5,98,72.5,60.75,61.5,87.25,133.25,134,94.5,76.5,63.5,55.75,40.75,29.25,28.75,30.5,33.25,34.25,36.5,51.75,63,73,83
88,84,71.25,62,60.25,86.5,123.75,157,135,91.75,65.5,38,28.75,29.75,29,32.5,37.5,36.25,35,38.25,52.5,67,74.5,77
89.25,83.5,75.75,80,75.5,92,107.75,101,81.5,81.25,76.25,62.25,46.25,46,44.5,43.25,43.5,47.5,50.5,56,71.5,93.5,103,109.5
96,105.75,110.75,100,98,98.5,97,106.75,101.25,84.75,86.25,78.75,60,49.25,41,40,41,45.25,47.25,56.75,68.75,79.75,87.75,97.75
97.5,74.75,59.75,66.25,60,55.25,57.25,63.75,66.5,68.75,74,76,83,84.25,82.25,80,79,82.75,89.25,102.25,116.5,125.75,117.75,124
131.75,122.5,95.25,72,82,97.25,100.25,122,132,120.25,107.75,100.75,95,88.75,87.5,96,101.5,97.25,92,90.75,90,90.5,86.5,97.25
98,80,72.25,69.5,67.25,66.25,67.75,72,77.75,78.5,73.75,75,75.5,72.25,70.5,75.25,81,84.75,91.5,94.5,99.5,98.75,102.25,94
78.5,74.5,78,80,75.75,67.5,62.25,65,72,71,67.5,67.25,60.5,57.5,53,54.75,53.25,57.25,58.25,58,58.5,54.5,44.75,40.75
41.75,41.75,44.25,47.75,52.5,44,56.25,47.5,52.75,55.75,57,57.25,57,58.5,60.5,64.25,67.25,65,72.5,75.25,86,103.5,90.5,79
74.5,,,,,,,,,,,,,,,,,,,,,,,
