0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
38.86,35.79,47.86,44.25,33.52,52.66,61.02,74.45,99.74,76.19,42.02,37.74,35.71,29.09,26.7,35.25,44.08,46.89,40.41,47.07,53.83,62.91,64.73,52.53
42,45.96,44.05,38.09,46.06,49.73,61.58,76.03,99.72,107.45,55.64,37.21,29.01,31.31,31.58,31.61,32.98,35.5,36.38,46.38,75.24,98.84,102.88,119.3
122.68,231.47,52.08,39.47,28.8,31.06,23.82,31.35,25.14,40.02,39.88,35.59,40.16,36.43,30.34,33.35,43.34,44.58,45.8,24.25,34.01,24.77,NAN,NAN
NAN,NAN,NAN,NAN,25.48,45.68,50.84,72.87,40.8,34.69,30.62,26.71,28.43,32.68,27.66,28.19,30.84,27.53,21.89,24.96,30.88,26.59,20.21,24.13
55.34,51.88,59.38,40.62,63.44,52.75,57.67,48.21,46.82,46.49,31.76,33.4,30.1,33.65,31.95,28.84,33.78,36.48,29.86,23.73,51.05,56.44,53.56,51.93
78.08,81.65,98.87,132.21,104.86,95.58,113.99,182.8,142.54,70.11,50.08,34.71,29.8,32.81,25.73,28.94,31.78,38.91,34.46,37.79,82.9,131.48,113.61,144.12
192.42,257.81,265.46,240.84,209.38,208.5,205.72,216.51,206.36,164.46,95.56,41.38,31.59,34.4,43.79,43.43,41.96,38.23,40.23,48.15,65.64,103.19,120.95,140.83
175.4,236.27,186.64,178.37,231.73,203.45,229.67,265.88,265.8,246.07,118.12,59.74,40.9,32.6,29.87,26.9,31.65,26.95,30.75,39.11,54.11,68.75,94.97,99.48
102.57,110.23,123.88,140.66,181.15,188.24,202.18,169.38,214.9,246.13,144.98,57.05,47.08,51.4,43.76,35.34,29.41,31.62,35.73,42.15,75.23,96.44,100.37,124.39
131.44,183.05,224.94,190.41,152.93,143.08,152.12,167.37,212.31,258.6,157.19,202.4,67.4,43.4,42.95,38.15,36.22,36.4,44.18,50.63,68.71,116.48,150.01,91.63
103.49,87.12,82.2,88.75,73.62,78.88,73.26,83.92,84.51,141.6,89.85,73.93,74.89,73.44,NAN,61.9,55.49,48.73,40.68,77.5,94.22,120.87,131.61,168.87
117.26,104.41,111.84,140.35,117.7,87.55,82.79,69.28,70,78.18,67.69,86.84,98.45,92.22,83.67,72.61,72.56,68.6,59.39,56.24,47.31,49.66,60.62,66.43
68.75,67.54,78.55,114.98,103.5,96.43,110.88,149.86,162.89,118.09,87.6,71.02,77.68,64.96,46.32,43.71,42.03,43.83,40.81,63.2,90.56,NAN,NAN,NAN
87.83,65.54,62.63,61.33,62.94,51.53,60.06,93.5,147.54,100.71,41.52,44.81,46.52,54.3,69.38,59.88,64.68,62.86,58.55,55.71,79.87,90.16,92.48,81.44
94,82.44,61.39,58.09,68.88,61.86,69.87,99.75,132.82,88.13,75.06,63.13,59.58,50.78,49.71,51.08,47.54,45.62,57.6,60.34,159.55,154.25,109.59,168
123.69,103.37,78.25,85.8,68.51,66.21,136.59,203.13,154.13,135.56,100.5,53.53,49.03,40.77,43.99,43.44,45.27,48.5,23.88,0,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,NAN,122.57,91.54,60.25,58.07,58.19,55.57,56.45,80.14,47.73,59.36,90.63,100.96,118.4
125.21,116.1,116.22,123.36,150.42,141.09,112.39,67.78,59.78,81.78,93.27,103.09,113.37,111.84,149.36,240.62,162.69,100.18,86.13,116.75,81.69,174.88,145.67,150.4
187.84,155.24,123.62,90,47.77,54.22,46.09,53.1,50.53,53.66,64.6,81.2,100.89,93.35,95.55,79.57,76.5,67.72,65.37,77.06,52.28,44.89,40.99,35.52
26.66,28.77,39.42,37.75,49.24,75.67,66.86,61.23,82.26,72.16,46.44,43.87,46.34,44.02,37.61,38.33,44.11,36.26,42.93,49.44,36.41,40.12,49.75,59.24
66.47,139.56,115,114.78,91.01,95.61,192.12,209.82,192.2,62.99,58.88,59.91,31.24,31.82,33.73,33.66,39.9,30.07,36.08,40.93,76.42,105.73,119.5,153.6
215.21,175.57,152.14,216.98,203.92,160.05,181.97,303.38,272.96,234.92,155.67,84.88,43.63,39,36.86,39.89,55.81,58.6,56.84,56.72,102.46,112.16,144.43,168.6
186.85,208.14,279.47,407.55,352.13,269.39,335.9,249.41,176.12,187.94,166.74,133.98,75.36,53.85,38.71,40.17,46.49,51.37,50.87,58.17,90.1,134.01,158.16,184.4
224.77,228.54,214.4,242.82,250.13,275.32,321.18,263.09,227.07,144.52,84.97,93.18,91.9,85.5,81.13,108.04,115.6,81.01,58.47,63.06,90.92,106.75,151.09,247.4
237.25,262.59,250.29,234.57,342.74,424.63,426.19,408.24,371.8,126.82,138.8,121.59,126.2,103.3,91.64,69.87,61.85,59.8,63.78,83.87,109.97,154.34,192.31,261.4
324.23,309.13,330.93,303.64,282.22,219.32,157.37,127.22,105.99,111.71,140.19,133.79,139.08,131.38,84.68,73.8,80.09,78.44,82.56,90.47,122.29,222.61,256.68,288.3
311.09,223.85,197.79,156.32,130.66,107.34,80.92,102.41,96.53,92.19,99.83,91.09,71.85,60.85,69.37,54.74,77.81,57.5,61.43,152.43,108.96,98.86,74.23,50.38
51.16,71.89,74.72,67.94,81.99,93.12,167.81,316.18,227.14,183.55,151.8,111.44,73.48,71.34,68.12,62.62,53.75,56.2,67.09,105.4,125.88,165.3,198.35,184.3
240.68,278.75,242.34,225.7,260.87,321.37,314.85,379.69,390.84,318.03,223.74,205.58,150.7,123.66,98.85,84.47,84.88,92.82,93.94,101.31,107.94,127.49,156.67,252.9
294.16,307.53,221.79,194.34,177.34,202.8,236.92,283.15,302.54,270.35,249.16,173.15,130.42,104.84,90.63,97,84.64,82.43,107.82,91.46,45.26,44.14,53.2,35.05
44.93,38.99,39.96,43.78,67.67,78.8,71.88,97.09,91.61,76.58,72.11,55.03,41.38,36.32,38.87,33.73,40.05,39.46,40.53,43.91,60.05,70.19,110.58,149
151.05,148.2,159.68,141.66,165.74,134.01,140.33,125.2,124.17,59.12,58.27,56.21,53.11,47.55,39.03,35.2,38.02,41.19,47.58,48.09,69.17,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,93.9,110.8
145.39,133.05,144.56,138.77,158.87,154.75,127.02,197.48,203.14,186,139.06,130,98.44,60.7,44.82,47.59,34.73,31.14,43.24,34.58,39.24,46.96,30.27,28.14
28.91,23.91,28.31,31.46,40.18,43.37,40.33,54.18,102.64,58.25,41.88,38.18,42.53,41.73,39.18,43.58,43.67,39.36,41.41,42.8,60.83,68.05,115.35,118.76
141.53,120.35,149.56,146.94,153.32,153,135.41,151.21,148.83,85.99,71.84,70.99,60.02,49.24,47.86,51.1,46.64,46.94,43.09,45.5,59.7,95.03,126.14,132.63
144.26,157.65,144.66,195.7,154.69,221.43,215.68,224.5,195.74,153.79,126.91,NAN,NAN,40.09,44.94,38.77,35.02,39.05,41.75,58.24,68.56,78.69,96.55,88
111.52,122.28,154.72,155.2,217.18,202.68,201.21,205.55,183.06,106.3,90.64,69.7,48.03,48.38,42.11,38.06,34.25,34.42,36.92,36.99,53.34,58.97,44.2,49.86
